StockRecord_SKU,Qty,Model,Size,Supplier,Candidate_Suggestions(pick one ItemCode or type correct),YOUR_ANSWER_ItemCode
Forte-L1201F-K,1,Forte,K,NF,(no candidate),
Sonic-L1201S-K,1,Sonic,K,NF,(no candidate),
Sonic-L1201S-K,1,Sonic,K,NF,(no candidate),
Sonic-L1201S-K,1,Sonic,K,NF,(no candidate),
1013Jager/Fab3--Queen/ BEDFRAME / PC151-01,1,1013Jager,Q,NF,BF04-1013Jager/Fab2-Q | 1013Jager/Fab2-Queen ;; BF04-1013Jager/Fab3-Q | 1013Jager/Fab3-Queen,
1013Jager/Fab3-King/ BEDFRAME/ PC151-01,1,1013Jager,K,NF,BF04-1013Jager/Fab2-K | 1013Jager/Fab2-King ;; BF04-1013Jager/Fab3-K | 1013Jager/Fab3-King,
1013Jager/Fab3-Queen/DIVAN ONLY (Q)/ PC151-09,1,1013Jager,Q,NF,BF04-1013Jager/Fab2-Q | 1013Jager/Fab2-Queen ;; BF04-1013Jager/Fab3-Q | 1013Jager/Fab3-Queen,
1013Jager/Fab3-King/DIVAN ONLY (K) /PC151-01,1,1013Jager,K,NF,BF04-1013Jager/Fab2-K | 1013Jager/Fab2-King ;; BF04-1013Jager/Fab3-K | 1013Jager/Fab3-King,
1013Jager/Fab3-King/BEDFRAME/ PC151-10,1,1013Jager,K,NF,BF04-1013Jager/Fab2-K | 1013Jager/Fab2-King ;; BF04-1013Jager/Fab3-K | 1013Jager/Fab3-King,
1013Jager/Fab3-Queen/PC151-18,1,1013Jager,Q,NF,BF04-1013Jager/Fab2-Q | 1013Jager/Fab2-Queen ;; BF04-1013Jager/Fab3-Q | 1013Jager/Fab3-Queen,
1013Jager/Fab3-Queen/PC151-02,1,1013Jager,Q,NF,BF04-1013Jager/Fab2-Q | 1013Jager/Fab2-Queen ;; BF04-1013Jager/Fab3-Q | 1013Jager/Fab3-Queen,
1013Jager/Fab3-SuperSingle/PC151-01 (3.5FT),1,1013Jager,S,NF,BF04-1013Jager/Fab2-SS | 1013Jager/Fab2-SuperSingle ;; BF04-1013Jager/Fab3-SS | 1013Jager/Fab3-SuperSingle,
DIVAN ONLY (K)/Fab3-King/PC151-17,1,DIVAN ONLY (K),K,Ohana,BF04-2010(A)/Fab3-K | 2010(A)/Fab3-King ;; BF04-Divan/Fab2-K | Divan/Fab2-King ;; BF04-Divan/Fab3-K | Divan/Fab3-King,
Laveo Divan only - K,1,Laveo Divan only - K,,Laveo,(no candidate),
"1013Jager/Fab3-Queen/PC151-01/Divan 8"" + Leg 2"" + Gap12""",1,1013Jager,Q,Ohana,(no candidate),
"1007Cody/Fab3-Queen/PC151-01/Divan 8"" + Leg 2"" + Gap12""",1,1007Cody,Q,Ohana,(no candidate),
"2006(A)Regal/Fab3-King/PC151-01/Divan 8"" + Leg 2"" + Gap16""",1,2006(A)Regal,K,Ohana,(no candidate),
"2009(A)Trion/Fab3-King/PC151-01/Divan 8"" + Leg 2"" + Gap14""",1,2009(A)Trion,K,Ohana,(no candidate),
"Cody KHJ57/Divan10""/PC151-01",1,Cody KHJ57,,NB,"BF03-KHJ57/Divan10""-PC151-01-K | Cody KHJ57/Divan10""-PC151-01(Ivory)-K ;; BF03-KHJ57/Divan10""-PC151-01-Q | Cody KHJ57/Divan10""-PC151-01(Ivory)-Q ;; BF03-KHJ57/Divan10""-PC151-01-S | Cody KHJ57/Divan10""-PC151-01(Ivory)-S ;; BF03-KHJ57/Divan10""-PC151-02-K | Cody KHJ57/Divan10""-PC151-02(Silver)-K ;; BF03-KHJ57/Divan10""-PC151-02-Q | Cody KHJ57/Divan10""-PC151-02(Silver)-Q",
Regal KHJ57/ Divan only,1,Regal KHJ57,,NB,BF03-NH36(A)/PC151-01(Ivory)-K | Regal KHJ57-PC151-01(Ivory)-K ;; BF03-NH36(A)/PC151-01(Ivory)-Q | Regal KHJ57-PC151-01(Ivory)-Q ;; BF03-NH36(A)/PC151-01(Ivory)-S | Regal KHJ57-PC151-01(Ivory)-S ;; BF03-NH36(A)/PC151-02(Silver)- | Regal KHJ57-PC151-02(Silver)-K ;; BF03-NH36(A)/PC151-03(Taupe)-K | Regal KHJ57-PC151-03(Taupe)-K,
Cozy 910/D10+L1+G12+HB48-FBF/CX1211-10(White)-Q910/CX1211-10(White),1,Cozy 910,,NB,(no candidate),
